""	"LMD_S14.vs.total_S14"
"AC185487.4_FG001"	0
"AC185487.4_FG003"	0
"AC185489.3_FG001"	0
"AC185489.3_FG002"	0
"AC185490.4_FG001"	0
"AC185492.2_FG005"	0
"AC185498.3_FG007"	-2.18578571685146
"AC185500.3_FG001"	-0.280555068029143
"AC185500.3_FG004"	0
"AC185500.3_FG005"	0
"AC185501.3_FG001"	0
"AC185501.3_FG006"	-3.80288714873169
"AC185504.4_FG001"	0
"AC185504.4_FG002"	0
"AC185504.4_FG006"	0
"AC185504.4_FG008"	0
"AC185504.4_FG009"	0
"AC185510.3_FG001"	0
"AC185514.3_FG007"	0
"AC185519.3_FG002"	0
"AC185522.2_FG001"	0
"AC185522.2_FG002"	1.64275751699825
"AC185530.2_FG003"	0
"AC185530.2_FG004"	0
"AC185530.2_FG005"	0
"AC185531.2_FG001"	0
"AC185586.4_FG003"	0
"AC185587.3_FG003"	0
"AC185588.2_FG002"	-0.50051794723413
"AC185588.2_FG008"	0
"AC185591.4_FG017"	0
"AC185593.3_FG002"	0
"AC185593.3_FG003"	-0.847627640705797
"AC185596.3_FG014"	-2.18578571685146
"AC185601.3_FG007"	0
"AC185601.3_FG008"	0
"AC185602.3_FG004"	0
"AC185603.4_FG007"	0
"AC185604.3_FG002"	0
"AC185605.3_FG003"	0
"AC185605.3_FG004"	0
"AC185606.2_FG003"	0
"AC185608.3_FG001"	0
"AC185610.3_FG001"	0
"AC185610.3_FG003"	0
"AC185611.3_FG001"	0
"AC185611.3_FG004"	0
"AC185612.3_FG002"	0
"AC185612.3_FG006"	0
"AC185619.4_FG005"	-3.23553240824214
"AC185623.4_FG010"	0
"AC185623.4_FG012"	0
"AC185625.4_FG004"	0
"AC185628.3_FG010"	0
"AC185630.3_FG002"	0
"AC185631.4_FG001"	0
"AC185632.3_FG001"	0
"AC185642.4_FG001"	0
"AC185642.4_FG006"	0
"AC185645.4_FG006"	0
"AC185648.3_FG001"	0
"AC185648.3_FG007"	0
"AC185649.2_FG003"	0
"AC185651.3_FG005"	0
"AC185654.3_FG006"	-3.25203115802695
"AC185655.3_FG004"	0
"AC185655.3_FG005"	0
"AC185655.3_FG008"	0
"AC185655.3_FG010"	0
"AC185656.3_FG002"	0
"AC185660.3_FG003"	0
"AC185662.2_FG003"	0
"AC185665.3_FG004"	0
"AC185665.3_FG008"	0
"AC185667.3_FG007"	0
"AC185667.3_FG008"	0
"AC185668.3_FG001"	-2.18543539889828
"AC185668.3_FG004"	0
"AC186009.3_FG001"	0
"AC186013.3_FG001"	0
"AC186013.3_FG002"	0
"AC186015.3_FG005"	0
"AC186020.3_FG003"	0
"AC186021.3_FG001"	0
"AC186023.2_FG004"	0
"AC186026.3_FG003"	0
"AC186026.3_FG004"	0
"AC186028.3_FG002"	0
"AC186028.3_FG003"	-2.52660418714925
"AC186030.3_FG003"	0
"AC186143.3_FG001"	0
"AC186143.3_FG008"	0
"AC186145.3_FG002"	-6.0420913922868
"AC186146.3_FG002"	0
"AC186147.3_FG008"	0
"AC186156.3_FG004"	0
"AC186156.3_FG005"	1.64262604794974
"AC186159.3_FG005"	0
"AC186164.3_FG001"	0
"AC186165.2_FG002"	-3.63142208455812
"AC186166.3_FG008"	0
"AC186166.3_FG015"	0
"AC186166.3_FG018"	0
"AC186189.3_FG004"	0
"AC186189.3_FG005"	-2.18578571685146
"AC186195.4_FG001"	0
"AC186220.4_FG002"	0
"AC186220.4_FG004"	0
"AC186222.3_FG003"	0
"AC186222.3_FG004"	0
"AC186223.3_FG003"	0
"AC186226.5_FG004"	0
"AC186227.3_FG003"	0
"AC186227.3_FG005"	0
"AC186227.3_FG009"	0
"AC186228.4_FG003"	0
"AC186231.4_FG002"	0
"AC186233.3_FG007"	0
"AC186233.3_FG009"	0
"AC186234.3_FG002"	0
"AC186234.3_FG003"	0
"AC186234.3_FG005"	0
"AC186282.3_FG003"	0
"AC186283.4_FG002"	0
"AC186284.3_FG007"	0
"AC186284.3_FG008"	0
"AC186287.7_FG003"	0
"AC186287.7_FG005"	0
"AC186287.7_FG013"	-2.21048000025671
"AC186288.3_FG003"	0
"AC186302.3_FG004"	0
"AC186302.3_FG005"	0
"AC186302.3_FG006"	0
"AC186302.3_FG013"	0
"AC186306.3_FG001"	0
"AC186307.4_FG001"	0
"AC186308.4_FG006"	0
"AC186309.3_FG002"	0
"AC186309.3_FG005"	0
"AC186309.3_FG006"	0
"AC186310.4_FG004"	0
"AC186314.4_FG003"	0
"AC186317.3_FG002"	0
"AC186322.4_FG001"	0
"AC186322.4_FG003"	0
"AC186322.4_FG005"	1.58927552241524
"AC186323.3_FG008"	0
"AC186329.3_FG006"	0
"AC186329.3_FG007"	0
"AC186329.3_FG009"	0
"AC186333.2_FG006"	0
"AC186335.3_FG003"	0
"AC186336.4_FG006"	0
"AC186336.4_FG011"	0
"AC186337.3_FG003"	0
"AC186337.3_FG006"	0
"AC186339.3_FG001"	0
"AC186339.3_FG004"	0
"AC186339.3_FG008"	0
"AC186340.4_FG004"	0
"AC186341.4_FG002"	0
"AC186370.2_FG007"	0
"AC186371.3_FG005"	0
"AC186372.4_FG001"	0
"AC186374.4_FG003"	0
"AC186374.4_FG004"	0
"AC186375.3_FG001"	0
"AC186377.3_FG005"	0
"AC186379.3_FG001"	0
"AC186399.3_FG002"	0
"AC186404.3_FG002"	0
"AC186406.4_FG005"	0
"AC186406.4_FG006"	0
"AC186406.4_FG008"	0
"AC186408.5_FG005"	0
"AC186409.4_FG002"	0
"AC186412.4_FG011"	0
"AC186412.4_FG012"	0
"AC186414.3_FG009"	0
"AC186415.2_FG003"	0
"AC186416.3_FG001"	0
"AC186417.3_FG002"	0
"AC186417.3_FG004"	0
"AC186417.3_FG005"	0
"AC186417.3_FG006"	0
"AC186417.3_FG007"	0
"AC186419.4_FG002"	0
"AC186420.3_FG002"	0
"AC186424.4_FG006"	0
"AC186424.4_FG008"	0
"AC186424.4_FG009"	0
"AC186424.4_FG010"	0
"AC186431.5_FG001"	1.66949003999198
"AC186433.4_FG001"	-3.00196591485807
"AC186438.3_FG004"	0
"AC186493.4_FG002"	0
"AC186500.3_FG001"	-4.00290355294893
"AC186506.3_FG001"	0
"AC186506.3_FG002"	0
"AC186512.3_FG007"	-0.93358054134311
"AC186516.3_FG003"	0
"AC186518.3_FG003"	0
"AC186519.4_FG002"	0
"AC186519.4_FG009"	0
"AC186522.3_FG001"	0
"AC186522.3_FG003"	0
"AC186524.3_FG005"	0
"AC186524.3_FG006"	0
"AC186525.4_FG005"	0
"AC186529.4_FG001"	0
"AC186529.4_FG009"	0
"AC186529.4_FG014"	2.98155837112323
"AC186563.4_FG004"	0
"AC186565.3_FG002"	0
"AC186566.4_FG001"	0
"AC186570.3_FG001"	0
"AC186573.3_FG002"	0
"AC186574.3_FG002"	-2.1847444349538
"AC186577.3_FG006"	0
"AC186579.3_FG006"	-1.87483163294541
"AC186579.3_FG007"	0
"AC186580.4_FG004"	0
"AC186581.3_FG003"	-3.23501669169696
"AC186582.3_FG005"	0
"AC186582.3_FG012"	0
"AC186583.3_FG004"	0
"AC186585.4_FG002"	0
"AC186585.4_FG003"	0
"AC186586.4_FG001"	1.69706408456632
