""	"Tausta_2014.M.Section_4.1"	"Tausta_2014.M.Section_4.2"	"Tausta_2014.M.Section_9.1"	"Tausta_2014.M.Section_9.2"	"Tausta_2014.M.Section_14.1"	"Tausta_2014.M.Section_14.2"	"Tausta_2014.BS.Section_4.1"	"Tausta_2014.BS.Section_4.2"	"Tausta_2014.BS.Section_9.1"	"Tausta_2014.BS.Section_9.2"	"Tausta_2014.BS.Section_14.1"	"Tausta_2014.BS.Section_14.2"
"AC183590.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183590.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183591.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183656.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183657.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183659.4_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183659.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183661.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183757.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183758.4_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183758.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183758.4_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183782.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183783.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183788.3_FG002"	0	0	0	0	0	0	0	0	0	1	0	0
"AC183811.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183815.4_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183817.2_FG002"	0	0	0	0	0	0	0	0	1	0	0	0
"AC183818.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183820.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183822.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183822.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183823.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183825.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183888.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183888.4_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183895.3_FG001"	0	0	0	0	0	0	0	0	1	0	0	0
"AC183895.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183899.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183900.3_FG002"	0	0	0	0	0	0	0	0	1	0	0	0
"AC183901.2_FG010"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183907.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183907.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183912.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183914.3_FG002"	0	0	0	0	0	0	0	0	1	1	0	0
"AC183914.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183915.4_FG001"	0	0	0	0	0	0	1	0	1	0	0	0
"AC183915.4_FG002"	0	0	0	0	0	0	0	0	1	0	0	0
"AC183917.3_FG004"	0	0	0	0	13	2	1	0	12	17	18	26
"AC183926.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183926.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183927.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183927.3_FG004"	0	0	1	0	0	0	0	0	0	0	0	0
"AC183928.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183928.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183929.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183932.3_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183932.3_FG007"	0	1	0	0	0	0	1	0	0	0	1	0
"AC183933.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183938.4_FG004"	0	0	0	0	0	0	0	0	1	0	0	0
"AC183938.4_FG011"	0	0	0	0	0	0	0	0	0	1	0	0
"AC183938.4_FG014"	0	0	0	0	0	0	0	0	0	0	0	0
