""	"BS.S4.vs.M.S4"	"BS.S9.vs.M.S9"	"BS.S14.vs.M.S14"
"AC184172.3_FG001"	0	1.7042837093729	0
"AC184172.3_FG004"	0	0	0
"AC184691.2_FG001"	0	0	0
"AC184694.3_FG007"	0	0	0
"AC184698.4_FG004"	3.11211491784164	0	0
"AC184699.3_FG005"	4.57584381082585	0	-2.38440847328476
"AC184700.4_FG003"	0	0	0
"AC184702.3_FG001"	0	0	0
"AC184703.5_FG001"	0	0	0
"AC184705.4_FG001"	0	0	0
"AC184706.2_FG001"	0	0	0
"AC184707.3_FG004"	0	0	0
"AC184764.3_FG003"	0	0	0
"AC184764.3_FG006"	0	0	0
"AC184765.4_FG004"	0	0	0
"AC184765.4_FG005"	0	0	-2.67434797900699
"AC184766.3_FG002"	0	0	0
"AC184768.3_FG001"	0	0	0
"AC184770.3_FG001"	0	0	0
"AC184771.4_FG003"	0	0	0
"AC184772.3_FG001"	0	0	0
"AC184774.4_FG002"	0	0	0
"AC184775.2_FG002"	0	0	0
"AC184776.3_FG003"	0	0	0
"AC184778.3_FG002"	0	0	0
"AC184780.3_FG004"	0	0	0
"AC184781.4_FG010"	0	0	0
"AC184782.3_FG004"	0	0	0
"AC184783.3_FG005"	0	0	0
"AC184787.2_FG002"	0	0	0
"AC184787.2_FG003"	1.291945406743	0	0
"AC184788.2_FG001"	0	0	0
"AC184789.4_FG002"	0	0	0
"AC184790.3_FG003"	0	1.7042837093729	0
"AC184794.2_FG003"	0	-1.70751405837224	0
"AC184831.3_FG003"	0	0	0
"AC184831.3_FG005"	0	0	0
"AC184831.3_FG008"	0	0	0
"AC184832.2_FG001"	0	0	0
"AC184832.2_FG002"	0	0	0
"AC184834.3_FG005"	4.63969120624414	-2.94195978550312	0
"AC184834.3_FG007"	0	0	0
"AC184835.3_FG003"	0	0	0
"AC184836.3_FG002"	0	0	0
"AC184836.3_FG003"	0	1.7042837093729	0
"AC184845.4_FG004"	0	0	0
"AC184851.4_FG005"	0	1.7042837093729	0
"AC184854.4_FG001"	0	0	0
"AC184854.4_FG003"	0	0	0
"AC184856.3_FG002"	0	0	0
"AC184856.3_FG007"	0	0	0
"AC184857.2_FG006"	3.09041486583244	-1.71668299596952	0
"AC184858.3_FG003"	0	0	0
"AC184859.3_FG001"	0	0	0
"AC184859.3_FG002"	0	0	0
"AC184865.4_FG003"	0	-1.70751405837224	0
"AC184866.3_FG004"	0	0	0
"AC184866.3_FG005"	0	0	0
"AC184866.3_FG007"	0	0	0
"AC184868.2_FG005"	0	0	0
"AC184868.2_FG006"	0	0	0
"AC184871.2_FG002"	0	0	0
"AC184871.2_FG009"	0	0	0
"AC184873.4_FG001"	0	0	0
"AC185108.3_FG006"	0	0	0
"AC185108.3_FG007"	0	0	0
"AC185108.3_FG008"	0	0	0
"AC185108.3_FG010"	0	0	0
"AC185108.3_FG011"	0	0	0
