""	"Li_2010.total.Section_1.1"	"Li_2010.total.Section_1.2"	"Li_2010.total.Section_4.1"	"Li_2010.total.Section_4.2"	"Li_2010.total.Section_9.1"	"Li_2010.total.Section_9.2"	"Li_2010.total.Section_14.1"	"Li_2010.total.Section_14.2"	"Li_2010.M.Section_14.1"	"Li_2010.M.Section_14.2"	"Li_2010.BS.Section_14.1"	"Li_2010.BS.Section_14.2"
"GRMZM5G853319"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853340"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853347"	0	0	0	0	0	1	0	2	7	1	1	0
"GRMZM5G853361"	193	253	42	60	62	51	36	63	31	42	34	57
"GRMZM5G853378"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853392"	72	191	6	22	47	37	28	44	47	23	17	5
"GRMZM5G853400"	2	1	1	2	1	1	0	1	0	0	0	0
"GRMZM5G853401"	56	64	27	45	42	29	15	35	127	61	92	108
"GRMZM5G853409"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853432"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853439"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853472"	9	8	2	8	3	3	5	6	9	16	6	7
"GRMZM5G853479"	0	0	0	1	3	2	0	5	3	5	2	0
"GRMZM5G853489"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853506"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853513"	74	346	8	36	22	39	9	23	0	0	1	0
"GRMZM5G853518"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853531"	0	0	0	1	0	0	1	0	0	0	0	0
"GRMZM5G853559"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853609"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853633"	0	2	0	1	2	0	0	2	0	0	0	0
"GRMZM5G853638"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853657"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853660"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853702"	0	0	0	0	4	4	3	8	0	0	0	2
"GRMZM5G853705"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853712"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853717"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853723"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853733"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853742"	3	3	2	2	1	1	0	3	8	0	0	6
"GRMZM5G853743"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853749"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853750"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853755"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853789"	0	0	0	0	1	0	0	1	0	0	0	0
"GRMZM5G853790"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853817"	0	0	2	1	0	0	0	0	0	0	0	0
"GRMZM5G853836"	13	41	11	23	11	6	5	8	12	5	2	1
"GRMZM5G853844"	0	1	1	0	1	1	0	0	0	0	0	0
"GRMZM5G853852"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853854"	107	200	2	5	11	25	16	48	26	33	9	5
"GRMZM5G853857"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853866"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853873"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853905"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853928"	1	17	0	2	0	0	1	5	0	0	0	0
"GRMZM5G853930"	0	0	0	0	0	0	0	0	0	1	0	0
"GRMZM5G853943"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853948"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853950"	1	0	0	0	0	0	0	2	0	0	0	0
"GRMZM5G853963"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853974"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853979"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G853988"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854007"	9	11	7	6	21	25	17	38	0	0	1	0
"GRMZM5G854008"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854009"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854033"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854036"	5	1	1	5	2	1	0	2	0	0	0	0
"GRMZM5G854045"	63	113	62	81	106	99	89	197	37	29	34	69
"GRMZM5G854065"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854070"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854103"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854128"	0	1	1	0	0	0	0	1	0	0	0	0
"GRMZM5G854134"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854138"	2841	6166	787	1367	468	426	512	800	945	627	311	144
"GRMZM5G854146"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854160"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854166"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854175"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854179"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854185"	1	3	1	1	1	2	2	3	0	0	0	0
"GRMZM5G854199"	0	0	0	1	0	0	0	0	0	0	0	0
"GRMZM5G854208"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854210"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854231"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854251"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854258"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854264"	0	0	0	0	0	0	2	1	0	0	0	0
"GRMZM5G854274"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854277"	11	34	8	27	11	9	4	20	6	6	4	7
"GRMZM5G854284"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854292"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854301"	110	259	131	230	223	221	66	188	205	159	97	187
"GRMZM5G854328"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854330"	1	1	0	0	0	0	0	2	0	0	0	0
"GRMZM5G854334"	60	92	19	34	32	26	18	41	40	21	11	15
"GRMZM5G854345"	10	2	1	4	5	5	3	6	0	0	0	0
"GRMZM5G854360"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854367"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854374"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854391"	2	1	2	1	0	1	0	0	0	0	0	0
"GRMZM5G854412"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854434"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854435"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854439"	2	0	0	0	1	0	1	1	0	0	0	0
"GRMZM5G854446"	1	0	5	5	1	1	2	1	0	0	0	0
"GRMZM5G854450"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854465"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854473"	148	354	45	99	264	202	336	777	44	12	121	155
"GRMZM5G854476"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854490"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854499"	37	32	35	58	57	48	25	65	4	7	6	3
"GRMZM5G854500"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854501"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854506"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854511"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854532"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854533"	391	1387	1965	4394	6696	6456	2208	5244	3414	2997	1343	1120
"GRMZM5G854551"	0	0	3	1	10	6	2	0	0	1	1	3
"GRMZM5G854571"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854581"	0	2	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854604"	10	15	2	10	8	9	9	22	15	10	18	33
"GRMZM5G854613"	244	469	294	338	189	180	84	170	63	32	90	88
"GRMZM5G854625"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854635"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854637"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854655"	0	0	8	14	1	5	0	0	0	0	0	0
"GRMZM5G854666"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854702"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854704"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854710"	22	50	59	95	40	36	17	56	65	41	39	48
"GRMZM5G854722"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854731"	0	1	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854762"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854798"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854813"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854835"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854838"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854845"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854866"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854880"	2	26	0	9	23	45	6	12	0	0	0	0
"GRMZM5G854881"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854884"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854888"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854901"	39	146	77	157	84	79	22	74	3	7	7	4
"GRMZM5G854925"	1	2	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854930"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854948"	10	19	15	20	13	9	7	10	19	11	12	10
"GRMZM5G854975"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G854980"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855005"	0	1	0	0	0	0	1	0	0	0	0	0
"GRMZM5G855007"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855008"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855013"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855014"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855032"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855035"	0	0	1	0	0	0	0	0	0	0	0	0
"GRMZM5G855052"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855055"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855064"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855076"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855085"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855094"	11	21	10	13	10	5	8	14	23	24	11	5
"GRMZM5G855099"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855119"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855124"	0	0	2	1	0	0	0	2	0	0	0	0
"GRMZM5G855167"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855188"	0	0	1	0	0	0	0	0	0	0	0	0
"GRMZM5G855190"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855200"	135	296	374	448	346	321	131	316	166	138	299	419
"GRMZM5G855201"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855208"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855222"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855237"	0	1	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855244"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855278"	3	10	11	31	91	79	30	44	157	120	101	93
"GRMZM5G855289"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855304"	8	3	6	10	3	1	8	2	0	0	0	1
"GRMZM5G855311"	102	103	44	52	32	31	24	40	9	4	0	8
"GRMZM5G855326"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855337"	1	0	0	0	0	0	0	0	2	1	0	0
"GRMZM5G855338"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855342"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855343"	2	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855347"	167	222	549	826	2180	2269	517	1535	786	776	1016	1066
"GRMZM5G855361"	2	12	7	6	7	11	3	15	0	1	0	0
"GRMZM5G855375"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855384"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855389"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855396"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855401"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855407"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855411"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855413"	0	0	0	1	0	0	1	1	3	5	1	1
"GRMZM5G855419"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855454"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855466"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855490"	0	0	0	0	0	1	0	0	0	0	0	0
"GRMZM5G855519"	10	5	6	7	3	2	3	3	2	0	0	0
"GRMZM5G855537"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855612"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855629"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855650"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855653"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855672"	531	1100	1068	1763	2116	1950	1529	3059	4362	3264	3517	4163
"GRMZM5G855705"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855710"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855731"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855734"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855743"	0	0	0	0	0	0	0	0	0	0	0	1
"GRMZM5G855745"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855774"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855776"	27	39	41	53	139	130	57	149	11	2	64	61
"GRMZM5G855797"	0	4	0	2	0	0	0	0	0	0	0	0
"GRMZM5G855798"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855807"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855808"	5	28	2	8	4	0	1	0	0	0	0	0
"GRMZM5G855814"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855849"	0	0	0	0	0	1	0	0	0	0	0	0
"GRMZM5G855853"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855856"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855860"	49	159	153	252	90	94	19	52	30	10	16	10
"GRMZM5G855861"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855867"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855879"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855891"	139	307	58	74	36	43	21	55	11	12	7	7
"GRMZM5G855894"	37	49	22	21	9	15	12	16	7	12	11	13
"GRMZM5G855897"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855924"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G855966"	1	6	0	0	1	0	1	2	0	0	0	0
"GRMZM5G855994"	0	1	0	3	3	8	2	2	0	0	0	0
"GRMZM5G856002"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856011"	3	1	7	6	0	0	2	4	0	0	0	0
"GRMZM5G856012"	1	0	1	1	3	0	1	0	0	0	0	0
"GRMZM5G856022"	0	0	0	0	0	0	1	0	0	0	0	0
"GRMZM5G856027"	1	0	0	0	0	0	0	0	0	2	1	0
"GRMZM5G856040"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856067"	18	39	8	9	8	3	0	4	0	0	0	0
"GRMZM5G856071"	6	7	0	0	1	1	1	4	0	0	0	0
"GRMZM5G856076"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856077"	0	2	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856084"	361	729	884	1193	1139	916	577	1367	846	647	558	607
"GRMZM5G856092"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856095"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856098"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856125"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856142"	13	5	11	20	7	2	8	18	3	1	3	4
"GRMZM5G856147"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856180"	0	0	0	0	0	0	0	0	1	0	0	1
"GRMZM5G856189"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856200"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856201"	26	62	30	52	47	49	19	46	42	39	37	34
"GRMZM5G856297"	4	9	43	88	111	91	44	76	0	0	1	0
"GRMZM5G856301"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856306"	66	130	55	69	128	119	56	106	96	88	51	93
"GRMZM5G856314"	3	2	1	0	0	0	4	2	12	4	13	16
"GRMZM5G856323"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856337"	0	0	1	0	0	0	0	0	0	0	0	0
"GRMZM5G856338"	81	89	73	110	124	115	54	181	105	76	126	203
"GRMZM5G856349"	4	6	1	3	3	2	5	3	0	0	0	0
"GRMZM5G856366"	1	3	0	0	1	1	0	1	0	0	0	2
"GRMZM5G856379"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856391"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856427"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856434"	37	63	16	22	14	7	17	28	4	4	3	5
"GRMZM5G856436"	72	216	76	109	68	59	37	65	32	19	22	40
"GRMZM5G856500"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856570"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856583"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856589"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856598"	74	114	139	197	162	170	84	204	78	50	87	90
"GRMZM5G856599"	1	0	0	0	0	0	0	0	2	0	0	0
"GRMZM5G856609"	6	2	0	1	3	2	0	3	3	0	2	1
"GRMZM5G856617"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856633"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856653"	459	1166	369	544	895	808	259	504	39	37	311	460
"GRMZM5G856655"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856661"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856668"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856681"	13	43	12	34	34	17	15	47	0	0	0	0
"GRMZM5G856699"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856705"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856720"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856721"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856732"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856734"	319	927	428	617	160	145	92	186	141	140	69	60
"GRMZM5G856736"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856738"	174	435	108	176	168	138	76	147	112	68	93	112
"GRMZM5G856741"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856746"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856773"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856777"	153	77	373	380	956	1115	1546	410	3549	4458	1248	1221
"GRMZM5G856789"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856794"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856795"	1	5	0	2	0	1	2	2	0	0	0	3
"GRMZM5G856805"	1	1	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856812"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856814"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856837"	110	182	162	189	263	226	136	234	203	149	144	177
"GRMZM5G856845"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856878"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856881"	22	75	101	172	122	115	21	71	44	23	12	21
"GRMZM5G856899"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856907"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856918"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856920"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856928"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856929"	6	22	0	10	52	118	18	34	64	71	55	17
"GRMZM5G856943"	93	256	50	90	113	100	47	81	98	44	60	52
"GRMZM5G856965"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856966"	188	319	79	96	69	68	51	115	28	13	11	4
"GRMZM5G856969"	25	41	113	143	47	36	6	6	13	6	3	1
"GRMZM5G856972"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G856981"	0	0	1	0	0	0	0	0	4	1	5	4
"GRMZM5G857005"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857064"	1	0	0	2	5	1	0	1	4	9	3	11
"GRMZM5G857087"	6	10	16	10	10	12	6	15	0	0	0	1
"GRMZM5G857090"	66	172	7	18	8	6	1	1	5	2	2	0
"GRMZM5G857119"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857127"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857131"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857132"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857133"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857140"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857147"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857152"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857154"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857179"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857182"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857210"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857250"	5	6	2	0	1	2	1	0	0	0	0	0
"GRMZM5G857259"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857285"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857303"	18	56	12	24	12	19	11	38	22	19	25	63
"GRMZM5G857308"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857318"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857320"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857327"	0	0	1	0	4	1	0	2	12	16	7	6
"GRMZM5G857344"	1	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857346"	0	0	0	0	0	0	1	0	0	0	0	0
"GRMZM5G857351"	40	69	31	28	25	17	14	45	0	1	0	0
"GRMZM5G857352"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857367"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857369"	2	1	0	10	6	5	3	7	9	6	6	24
"GRMZM5G857371"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857379"	140	177	15	31	18	15	4	16	1	3	2	0
"GRMZM5G857404"	45	132	35	38	21	17	8	25	3	1	3	2
"GRMZM5G857423"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857435"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857438"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857445"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857451"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857459"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857468"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857487"	0	0	0	0	0	0	1	4	0	0	0	0
"GRMZM5G857492"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857498"	6	0	0	1	0	0	0	0	0	0	0	0
"GRMZM5G857514"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857534"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857552"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857564"	0	0	2	1	0	2	1	2	0	0	0	0
"GRMZM5G857620"	3	9	44	81	142	138	51	116	0	0	0	1
"GRMZM5G857621"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857622"	12	9	5	2	1	3	0	1	0	0	0	0
"GRMZM5G857641"	1	7	37	52	166	174	95	245	15	17	78	189
"GRMZM5G857671"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857681"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857693"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857701"	0	0	11	16	6	1	4	6	0	1	0	0
"GRMZM5G857708"	6	5	5	11	14	12	7	8	0	0	0	0
"GRMZM5G857718"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857724"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857734"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857770"	0	0	0	0	1	0	1	0	0	0	0	0
"GRMZM5G857810"	1	34	1	5	8	11	2	9	0	0	0	0
"GRMZM5G857814"	0	1	2	3	4	0	3	2	0	0	1	2
"GRMZM5G857820"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857860"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857870"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857871"	17	67	7	23	14	19	6	36	0	0	0	0
"GRMZM5G857885"	0	0	1	0	0	0	0	0	0	0	0	0
"GRMZM5G857894"	12	32	3	12	8	9	13	37	0	0	0	0
"GRMZM5G857895"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857897"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857902"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857917"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857928"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM5G857930"	73	81	54	72	88	72	45	94	46	29	25	40
"GRMZM5G857936"	0	0	0	0	0	0	2	0	1	1	0	0
"GRMZM5G857940"	0	0	0	0	0	0	0	0	0	0	0	0
