""	"Li_2010.total.Section_1.1"	"Li_2010.total.Section_1.2"	"Li_2010.total.Section_4.1"	"Li_2010.total.Section_4.2"	"Li_2010.total.Section_9.1"	"Li_2010.total.Section_9.2"	"Li_2010.total.Section_14.1"	"Li_2010.total.Section_14.2"	"Li_2010.M.Section_14.1"	"Li_2010.M.Section_14.2"	"Li_2010.BS.Section_14.1"	"Li_2010.BS.Section_14.2"
"AC183319.3_FG001"	1	0	4	7	89	78	43	82	99	89	29	34
"AC183372.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183372.4_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183412.5_FG005"	1	0	0	1	0	0	0	1	0	0	0	0
"AC183413.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183503.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183503.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183503.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183504.4_FG003"	0	0	0	0	1	0	1	0	0	0	0	0
"AC183509.1_FG001"	0	1	0	0	0	0	0	0	0	0	1	4
"AC183509.1_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183510.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183511.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183514.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183514.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183518.2_FG001"	0	2	0	0	0	1	1	0	0	0	0	0
"AC183521.2_FG006"	0	0	0	1	0	0	1	1	0	0	0	0
"AC183590.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183590.4_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183591.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183656.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183657.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183659.4_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183659.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183661.3_FG004"	0	0	1	0	1	0	0	0	0	0	0	0
"AC183757.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183758.4_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC183758.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
