""	"BS.S5.vs.M.S5"	"BS.S4.vs.M.S4"	"BS.S3.vs.M.S3"	"BS.S2.vs.M.S2"	"BS.S1.vs.M.S1"
"AC183659.4_FG005"	1	1	1	1	1
"AC183659.4_FG006"	1	1	1	1	1
"AC183661.3_FG004"	1	0.801510976406476	1	0.840982438127983	1
"AC183757.3_FG001"	1	1	1	1	1
"AC183758.4_FG005"	1	1	1	1	1
"AC183758.4_FG006"	1	1	1	1	1
"AC183758.4_FG007"	1	1	0.950918211031973	0.556316885170506	1
"AC183782.3_FG002"	1	1	1	1	1
"AC183783.4_FG004"	1	1	1	1	1
"AC183788.3_FG002"	1	1	1	1	1
"AC183811.3_FG003"	1	1	1	1	1
"AC183815.4_FG004"	1	1	1	1	1
"AC183817.2_FG002"	1	1	1	1	1
"AC183818.2_FG001"	1	1	1	1	1
"AC183820.4_FG002"	1	1	1	1	1
"AC183822.3_FG001"	1	1	1	1	1
"AC183822.3_FG003"	1	1	1	1	1
"AC183823.3_FG006"	1	1	1	1	1
"AC183825.3_FG003"	1	1	1	1	1
"AC183888.4_FG006"	1	1	1	1	1
"AC183888.4_FG008"	1	1	1	1	1
"AC183895.3_FG001"	1	0.872950398799246	0.0691856359057371	0.504365014450065	1
"AC183895.3_FG003"	1	1	1	1	1
"AC183899.3_FG001"	1	1	1	1	1
"AC183900.3_FG002"	1	1	1	1	1
"AC183901.2_FG010"	1	1	1	1	1
"AC183907.3_FG001"	1	1	1	0.311839869942207	1
"AC183907.3_FG003"	1	1	1	0.851883392138643	1
"AC183912.3_FG002"	1	1	1	1	1
"AC183914.3_FG002"	1	1	1	0.868706035028101	1
"AC183914.3_FG004"	1	1	1	1	1
"AC183915.4_FG001"	1	1	1	1	1
"AC183915.4_FG002"	1	1	1	1	1
"AC183917.3_FG004"	1	1	1	0.0630811447230495	1
"AC183926.3_FG003"	1	1	1	1	1
"AC183926.3_FG005"	1	1	1	1	1
"AC183927.3_FG003"	1	1	1	1	1
"AC183927.3_FG004"	1	1	1	0.178058042662733	0.708540276987183
"AC183928.4_FG001"	1	1	1	1	1
"AC183928.4_FG006"	1	1	1	1	1
"AC183929.4_FG003"	1	1	1	1	1
"AC183932.3_FG004"	1	1	1	1	1
"AC183932.3_FG007"	1	1	0.797715980788226	1	1
"AC183933.2_FG003"	1	1	1	1	1
"AC183938.4_FG004"	1	1	1	1	1
"AC183938.4_FG011"	1	1	1	1	1
"AC183938.4_FG014"	1	1	1	1	1
"AC183939.3_FG003"	1	1	1	1	1
"AC183939.3_FG005"	1	1	1	1	1
"AC183943.3_FG001"	1	1	1	1	1
"AC183944.4_FG002"	1	1	1	1	1
"AC183944.4_FG003"	1	1	1	1	1
"AC183950.2_FG002"	1	1	1	1	1
"AC183950.2_FG003"	1	1	1	1	1
"AC183950.2_FG004"	0.616828876932488	0.70485607140636	1	0.630447965439232	1
"AC183950.2_FG005"	1	0.931075070180134	0.676072303158413	1	1
"AC183956.3_FG002"	1	1	1	1	1
"AC183968.2_FG001"	1	1	1	0.333585169317488	1
"AC183969.3_FG001"	1	1	1	1	1
"AC183969.3_FG003"	1	1	1	1	1
"AC183969.3_FG008"	1	1	1	1	1
"AC183974.4_FG001"	1	1	1	1	1
"AC184048.4_FG002"	1	1	1	1	1
"AC184048.4_FG011"	1	1	1	1	1
"AC184048.4_FG013"	1	1	1	1	1
"AC184050.2_FG002"	1	1	1	1	1
"AC184050.2_FG004"	1	1	1	1	1
"AC184112.4_FG010"	1	1	1	1	1
"AC184113.4_FG001"	1	1	1	1	1
"AC184116.3_FG001"	0.267335663861906	1	1	0.840982438127983	1
"AC184119.3_FG004"	1	1	1	1	1
"AC184127.3_FG003"	1	1	1	1	1
"AC184129.2_FG002"	1	1	1	1	1
"AC184130.4_FG001"	1	1	1	1	1
"AC184130.4_FG005"	1	1	1	1	1
"AC184130.4_FG012"	1	1	1	0.371998813268109	1
"AC184131.5_FG003"	1	1	1	1	1
"AC184131.5_FG010"	1	1	1	1	1
"AC184132.3_FG007"	1	1	1	1	1
"AC184133.3_FG001"	1	1	1	0.544892306345181	1
"AC184133.3_FG004"	1	1	1	1	1
"AC184138.4_FG003"	1	1	1	1	1
"AC184164.2_FG004"	1	1	1	1	1
"AC184164.2_FG005"	1	1	1	1	1
"AC184164.2_FG006"	1	1	1	1	1
"AC184165.4_FG001"	1	1	1	1	1
"AC184168.3_FG004"	1	1	1	1	1
"AC184169.3_FG001"	1	1	1	1	1
"AC184170.4_FG002"	1	1	1	0.932490342881111	1
"AC184171.4_FG002"	1	1	1	1	1
"AC184171.4_FG003"	1	1	1	1	1
"AC184172.3_FG001"	1	1	1	1	1
"AC184172.3_FG004"	1	1	1	1	1
"AC184691.2_FG001"	1	1	1	1	1
"AC184694.3_FG007"	1	1	1	1	1
"AC184698.4_FG004"	1	1	1	1	1
"AC184699.3_FG005"	1	1	1	0.345570215351361	1
"AC184700.4_FG003"	1	1	1	1	1
"AC184702.3_FG001"	1	1	1	1	1
"AC184703.5_FG001"	1	1	1	1	1
"AC184705.4_FG001"	1	1	1	1	1
"AC184706.2_FG001"	1	1	1	1	1
"AC184707.3_FG004"	1	1	1	1	1
"AC184764.3_FG003"	1	1	1	1	1
"AC184764.3_FG006"	1	1	1	1	1
"AC184765.4_FG004"	1	1	1	1	1
"AC184765.4_FG005"	1	1	1	1	1
"AC184766.3_FG002"	1	1	1	1	1
"AC184768.3_FG001"	1	1	1	1	1
