""	"LMD_S14.vs.total_S14"
"AC185489.3_FG002"	1
"AC185490.4_FG001"	1
"AC185492.2_FG005"	1
"AC185498.3_FG007"	0.731526141194842
"AC185500.3_FG001"	1
"AC185500.3_FG004"	1
"AC185500.3_FG005"	1
"AC185501.3_FG001"	1
"AC185501.3_FG006"	0.169914423217279
"AC185504.4_FG001"	1
"AC185504.4_FG002"	1
"AC185504.4_FG006"	1
"AC185504.4_FG008"	1
"AC185504.4_FG009"	1
"AC185510.3_FG001"	1
"AC185514.3_FG007"	1
"AC185519.3_FG002"	1
"AC185522.2_FG001"	1
"AC185522.2_FG002"	1
"AC185530.2_FG003"	1
"AC185530.2_FG004"	1
"AC185530.2_FG005"	1
"AC185531.2_FG001"	1
"AC185586.4_FG003"	1
"AC185587.3_FG003"	1
"AC185588.2_FG002"	1
"AC185588.2_FG008"	1
"AC185591.4_FG017"	1
"AC185593.3_FG002"	1
"AC185593.3_FG003"	1
"AC185596.3_FG014"	0.731526141194842
"AC185601.3_FG007"	1
"AC185601.3_FG008"	1
"AC185602.3_FG004"	1
"AC185603.4_FG007"	1
"AC185604.3_FG002"	1
"AC185605.3_FG003"	1
"AC185605.3_FG004"	1
"AC185606.2_FG003"	1
"AC185608.3_FG001"	1
"AC185610.3_FG001"	1
"AC185610.3_FG003"	1
"AC185611.3_FG001"	1
"AC185611.3_FG004"	1
"AC185612.3_FG002"	1
"AC185612.3_FG006"	1
"AC185619.4_FG005"	0.414132168405146
"AC185623.4_FG010"	1
"AC185623.4_FG012"	1
"AC185625.4_FG004"	1
"AC185628.3_FG010"	1
"AC185630.3_FG002"	1
"AC185631.4_FG001"	1
"AC185632.3_FG001"	1
"AC185642.4_FG001"	1
"AC185642.4_FG006"	1
"AC185645.4_FG006"	1
"AC185648.3_FG001"	1
"AC185648.3_FG007"	1
"AC185649.2_FG003"	1
"AC185651.3_FG005"	1
"AC185654.3_FG006"	0.149556058581864
"AC185655.3_FG004"	1
"AC185655.3_FG005"	1
"AC185655.3_FG008"	1
"AC185655.3_FG010"	1
"AC185656.3_FG002"	1
"AC185660.3_FG003"	1
"AC185662.2_FG003"	1
"AC185665.3_FG004"	1
"AC185665.3_FG008"	1
"AC185667.3_FG007"	1
"AC185667.3_FG008"	1
"AC185668.3_FG001"	0.731526141194842
"AC185668.3_FG004"	1
"AC186009.3_FG001"	1
"AC186013.3_FG001"	1
"AC186013.3_FG002"	1
"AC186015.3_FG005"	1
"AC186020.3_FG003"	1
"AC186021.3_FG001"	1
"AC186023.2_FG004"	1
"AC186026.3_FG003"	1
"AC186026.3_FG004"	1
"AC186028.3_FG002"	1
"AC186028.3_FG003"	0.697603894350517
"AC186030.3_FG003"	1
"AC186143.3_FG001"	1
"AC186143.3_FG008"	1
"AC186145.3_FG002"	0.00292415324170075
"AC186146.3_FG002"	1
"AC186147.3_FG008"	1
"AC186156.3_FG004"	1
"AC186156.3_FG005"	1
"AC186159.3_FG005"	1
"AC186164.3_FG001"	1
"AC186165.2_FG002"	0.446100828232856
"AC186166.3_FG008"	1
"AC186166.3_FG015"	1
"AC186166.3_FG018"	1
"AC186189.3_FG004"	1
"AC186189.3_FG005"	0.731526141194842
"AC186195.4_FG001"	1
"AC186220.4_FG002"	1
"AC186220.4_FG004"	1
"AC186222.3_FG003"	1
"AC186222.3_FG004"	1
"AC186223.3_FG003"	1
"AC186226.5_FG004"	1
"AC186227.3_FG003"	1
"AC186227.3_FG005"	1
"AC186227.3_FG009"	1
"AC186228.4_FG003"	1
"AC186231.4_FG002"	1
"AC186233.3_FG007"	1
"AC186233.3_FG009"	1
"AC186234.3_FG002"	1
"AC186234.3_FG003"	1
"AC186234.3_FG005"	1
"AC186282.3_FG003"	1
"AC186283.4_FG002"	1
"AC186284.3_FG007"	1
"AC186284.3_FG008"	1
"AC186287.7_FG003"	1
"AC186287.7_FG005"	1
"AC186287.7_FG013"	0.731526141194842
"AC186288.3_FG003"	1
"AC186302.3_FG004"	1
"AC186302.3_FG005"	1
"AC186302.3_FG006"	1
"AC186302.3_FG013"	1
"AC186306.3_FG001"	1
"AC186307.4_FG001"	1
"AC186308.4_FG006"	1
"AC186309.3_FG002"	1
"AC186309.3_FG005"	1
"AC186309.3_FG006"	1
"AC186310.4_FG004"	1
"AC186314.4_FG003"	1
"AC186317.3_FG002"	1
"AC186322.4_FG001"	1
"AC186322.4_FG003"	1
"AC186322.4_FG005"	0.880673680522479
"AC186323.3_FG008"	1
"AC186329.3_FG006"	1
"AC186329.3_FG007"	1
"AC186329.3_FG009"	1
"AC186333.2_FG006"	1
"AC186335.3_FG003"	1
"AC186336.4_FG006"	1
"AC186336.4_FG011"	1
"AC186337.3_FG003"	1
"AC186337.3_FG006"	1
"AC186339.3_FG001"	1
"AC186339.3_FG004"	1
"AC186339.3_FG008"	1
"AC186340.4_FG004"	1
"AC186341.4_FG002"	1
"AC186370.2_FG007"	1
"AC186371.3_FG005"	1
"AC186372.4_FG001"	1
"AC186374.4_FG003"	1
"AC186374.4_FG004"	1
"AC186375.3_FG001"	1
"AC186377.3_FG005"	1
"AC186379.3_FG001"	1
"AC186399.3_FG002"	1
"AC186404.3_FG002"	1
"AC186406.4_FG005"	1
"AC186406.4_FG006"	1
"AC186406.4_FG008"	1
"AC186408.5_FG005"	1
"AC186409.4_FG002"	1
"AC186412.4_FG011"	1
"AC186412.4_FG012"	1
"AC186414.3_FG009"	1
"AC186415.2_FG003"	1
"AC186416.3_FG001"	1
"AC186417.3_FG002"	1
"AC186417.3_FG004"	1
"AC186417.3_FG005"	1
"AC186417.3_FG006"	1
"AC186417.3_FG007"	1
"AC186419.4_FG002"	1
"AC186420.3_FG002"	1
"AC186424.4_FG006"	1
"AC186424.4_FG008"	1
"AC186424.4_FG009"	1
"AC186424.4_FG010"	1
"AC186431.5_FG001"	1
"AC186433.4_FG001"	0.434107484122411
"AC186438.3_FG004"	1
"AC186493.4_FG002"	1
"AC186500.3_FG001"	0.184644248755172
"AC186506.3_FG001"	1
"AC186506.3_FG002"	1
"AC186512.3_FG007"	0.731526141194842
"AC186516.3_FG003"	1
"AC186518.3_FG003"	1
"AC186519.4_FG002"	1
"AC186519.4_FG009"	1
"AC186522.3_FG001"	1
"AC186522.3_FG003"	1
"AC186524.3_FG005"	1
"AC186524.3_FG006"	1
"AC186525.4_FG005"	1
"AC186529.4_FG001"	1
"AC186529.4_FG009"	1
"AC186529.4_FG014"	0.731526141194842
"AC186563.4_FG004"	1
"AC186565.3_FG002"	1
"AC186566.4_FG001"	1
"AC186570.3_FG001"	1
"AC186573.3_FG002"	1
"AC186574.3_FG002"	0.731526141194842
"AC186577.3_FG006"	1
"AC186579.3_FG006"	0.674941758488025
"AC186579.3_FG007"	1
"AC186580.4_FG004"	1
"AC186581.3_FG003"	0.414132168405146
"AC186582.3_FG005"	1
"AC186582.3_FG012"	1
"AC186583.3_FG004"	1
"AC186585.4_FG002"	1
"AC186585.4_FG003"	1
"AC186586.4_FG001"	1
"AC186588.3_FG002"	1
"AC186589.3_FG003"	1
"AC186589.3_FG007"	1
